Date(YMD),Demand
2015-07-01,20243.695652173912
2015-07-02,19275.0
2015-07-03,17682.333333333332
2015-07-04,16523.833333333332
2015-07-05,17620.083333333332
2015-07-06,21147.208333333332
2015-07-07,23207.083333333332
2015-07-08,22561.0
2015-07-09,20387.333333333332
2015-07-10,20584.583333333332
2015-07-11,19521.833333333332
2015-07-12,20000.708333333332
2015-07-13,22777.291666666668
2015-07-14,22189.166666666668
2015-07-15,21184.541666666668
2015-07-16,19183.5
2015-07-17,19540.958333333332
2015-07-18,20232.875
2015-07-19,22804.916666666668
2015-07-20,25955.791666666668
2015-07-21,23989.916666666668
2015-07-22,21225.25
2015-07-23,20588.291666666668
2015-07-24,20511.75
2015-07-25,19617.5
2015-07-26,20466.583333333332
2015-07-27,23252.833333333332
2015-07-28,24744.916666666668
2015-07-29,25660.458333333332
2015-07-30,24873.5
2015-07-31,23137.416666666668
2015-08-01,20964.875
2015-08-02,20299.208333333332
2015-08-03,23384.416666666668
2015-08-04,23165.208333333332
2015-08-05,21763.583333333332
2015-08-06,20501.666666666668
2015-08-07,20402.625
2015-08-08,18494.166666666668
2015-08-09,18575.375
2015-08-10,20949.5
2015-08-11,21214.791666666668
2015-08-12,21012.833333333332
2015-08-13,20496.25
2015-08-14,21048.083333333332
2015-08-15,21081.208333333332
2015-08-16,21656.208333333332
2015-08-17,24839.375
2015-08-18,24846.0
2015-08-19,24832.916666666668
2015-08-20,24627.875
2015-08-21,22251.583333333332
2015-08-22,19193.583333333332
2015-08-23,19210.375
2015-08-24,22190.958333333332
2015-08-25,22607.875
2015-08-26,20482.541666666668
2015-08-27,19565.708333333332
2015-08-28,19184.916666666668
2015-08-29,18402.458333333332
2015-08-30,19653.625
2015-08-31,23415.541666666668
2015-09-01,23627.958333333332
2015-09-02,23623.791666666668
2015-09-03,24188.875
2015-09-04,22919.333333333332
2015-09-05,19644.375
2015-09-06,18997.0
2015-09-07,21132.416666666668
2015-09-08,25033.875
2015-09-09,24881.708333333332
2015-09-10,21893.25
2015-09-11,20046.583333333332
2015-09-12,18314.333333333332
2015-09-13,17535.583333333332
2015-09-14,17561.625
2015-09-15,18524.125
2015-09-16,19808.958333333332
2015-09-17,20542.916666666668
2015-09-18,20428.0
2015-09-19,19035.375
2015-09-20,17344.5
2015-09-21,17398.25
2015-09-22,17413.041666666668
2015-09-23,17497.583333333332
2015-09-24,18001.125
2015-09-25,17697.416666666668
2015-09-26,15778.208333333334
2015-09-27,15372.083333333334
2015-09-28,18062.25
2015-09-29,19753.166666666668
2015-09-30,19176.833333333332
2015-10-01,16638.875
2015-10-02,16417.958333333332
2015-10-03,15490.583333333334
2015-10-04,14206.0
2015-10-05,16342.75
2015-10-06,16530.333333333332
2015-10-07,16675.458333333332
2015-10-08,16646.958333333332
2015-10-09,17085.166666666668
2015-10-10,14974.791666666666
2015-10-11,14689.416666666666
2015-10-12,16348.125
2015-10-13,16915.625
2015-10-14,16556.291666666668
2015-10-15,16375.833333333334
2015-10-16,16235.875
2015-10-17,15249.541666666666
2015-10-18,15499.541666666666
2015-10-19,17113.291666666668
2015-10-20,16826.75
2015-10-21,16633.458333333332
2015-10-22,16719.166666666668
2015-10-23,16323.458333333334
2015-10-24,15536.666666666666
2015-10-25,15135.083333333334
2015-10-26,16550.833333333332
2015-10-27,16854.583333333332
2015-10-28,17248.958333333332
2015-10-29,16868.083333333332
2015-10-30,16363.708333333334
2015-10-31,15352.0
2015-11-01,15095.4
2015-11-02,16512.5
