Date,Demand
2015-07-01,20243
2015-07-02,19275
2015-07-03,17682
2015-07-04,16523
2015-07-05,17620
2015-07-06,21147
2015-07-07,23207
2015-07-08,22561
2015-07-09,20387
2015-07-10,20584
2015-07-11,19521
2015-07-12,20000
2015-07-13,22777
2015-07-14,22189
2015-07-15,21184
2015-07-16,19183
2015-07-17,19540
2015-07-18,20232
2015-07-19,22804
2015-07-20,25955
2015-07-21,23989
2015-07-22,21225
2015-07-23,20588
2015-07-24,20511
2015-07-25,19617
2015-07-26,20466
2015-07-27,23252
2015-07-28,24744
2015-07-29,25660
2015-07-30,24873
2015-07-31,23137
2015-08-01,20964
2015-08-02,20299
2015-08-03,23384
2015-08-04,23165
2015-08-05,21763
2015-08-06,20501
2015-08-07,20402
2015-08-08,18494
2015-08-09,18575
2015-08-10,20949
2015-08-11,21214
2015-08-12,21012
2015-08-13,20496
2015-08-14,21048
2015-08-15,21081
2015-08-16,21656
2015-08-17,24839
2015-08-18,24846
2015-08-19,24832
2015-08-20,24627
2015-08-21,22251
2015-08-22,19193
2015-08-23,19210
2015-08-24,22190
2015-08-25,22607
2015-08-26,20482
2015-08-27,19565
2015-08-28,19184
2015-08-29,18402
2015-08-30,19653
2015-08-31,23415
2015-09-01,23627
2015-09-02,23623
2015-09-03,24188
2015-09-04,22919
2015-09-05,19644
2015-09-06,18997
2015-09-07,21132
2015-09-08,25033
2015-09-09,24881
2015-09-10,21893
2015-09-11,20046
2015-09-12,18314
2015-09-13,17535
2015-09-14,17561
2015-09-15,18524
2015-09-16,19808
2015-09-17,20542
2015-09-18,20428
2015-09-19,19035
2015-09-20,17344
2015-09-21,17398
2015-09-22,17413
2015-09-23,17497
2015-09-24,18001
2015-09-25,17697
2015-09-26,15778
2015-09-27,15372
2015-09-28,18062
2015-09-29,19753
2015-09-30,19176
2015-10-01,16638
2015-10-02,16417
2015-10-03,15490
2015-10-04,14206
2015-10-05,16342
2015-10-06,16530
2015-10-07,16675
2015-10-08,16646
2015-10-09,17085
2015-10-10,14974
2015-10-11,14689
2015-10-12,16348
2015-10-13,16915
2015-10-14,16556
2015-10-15,16375
2015-10-16,16235
2015-10-17,15249
2015-10-18,15499
2015-10-19,17113
2015-10-20,16826
2015-10-21,16633
2015-10-22,16719
2015-10-23,16323
2015-10-24,15536
2015-10-25,15135
2015-10-26,16550
2015-10-27,16854
2015-10-28,17248
2015-10-29,16868
2015-10-30,16363
2015-10-31,15352
2015-11-01,15095
2015-11-02,16512
2015-11-03,16620
2015-11-04,16587
2015-11-05,16871
2015-11-06,17140
2015-11-07,15518
2015-11-08,15161
2015-11-09,16788
2015-11-10,17024
2015-11-11,16752
2015-11-12,17038
2015-11-13,16699
2015-11-14,15867
2015-11-15,15401
2015-11-16,16626
2015-11-17,17034
2015-11-18,17087
2015-11-19,16954
2015-11-20,16552
2015-11-21,15782
2015-11-22,15667
2015-11-23,17595
2015-11-24,17878
2015-11-25,17479
2015-11-26,15357
2015-11-27,15438
2015-11-28,15568
2015-11-29,15903
2015-11-30,17761
2015-12-01,17789
2015-12-02,17470
2015-12-03,17412
2015-12-04,17387
2015-12-05,16192
2015-12-06,16251
2015-12-07,17677
2015-12-08,17693
2015-12-09,17593
2015-12-10,17071
2015-12-11,16999
2015-12-12,15859
2015-12-13,15554
2015-12-14,17105
2015-12-15,17168
2015-12-16,17471
2015-12-17,17672
2015-12-18,17589
2015-12-19,17192
2015-12-20,16934
2015-12-21,17999
2015-12-22,17474
2015-12-23,17267
2015-12-24,16179
2015-12-25,14917
2015-12-26,15471
2015-12-27,15648
2015-12-28,17498
2015-12-29,17939
2015-12-30,17479
2015-12-31,16924
2016-01-01,16200
2016-01-02,16751
2016-01-03,16628
2016-01-04,19069
2016-01-05,20207
2016-01-06,19382
2016-01-07,18750
2016-01-08,18327
2016-01-09,16584
2016-01-10,16199
2016-01-11,18602
2016-01-12,19266
2016-01-13,19630
2016-01-14,19456
2016-01-15,18112
2016-01-16,16685
2016-01-17,16978
2016-01-18,19162
2016-01-19,20284
2016-01-20,19503
2016-01-21,19323
2016-01-22,19537
2016-01-23,18592
2016-01-24,17985
2016-01-25,18840
2016-01-26,18523
2016-01-27,18326
2016-01-28,18482
2016-01-29,18480
2016-01-30,17340
2016-01-31,16329
2016-02-01,17403
2016-02-02,17605
2016-02-03,17788
2016-02-04,17345
2016-02-05,18106
2016-02-06,17145
2016-02-07,16550
2016-02-08,18325
2016-02-09,18681
2016-02-10,18717
2016-02-11,19826
2016-02-12,20094
2016-02-13,19606
2016-02-14,20315
2016-02-15,20654
2016-02-16,18897
2016-02-17,18589
2016-02-18,18842
2016-02-19,19004
2016-02-20,16451
2016-02-21,16038
2016-02-22,17591
2016-02-23,18513
2016-02-24,18464
2016-02-25,17749
2016-02-26,18473
2016-02-27,17333
2016-02-28,15908
2016-02-29,17260
2016-03-01,17644
2016-03-02,17870
2016-03-03,18601
2016-03-04,18495
2016-03-05,17088
2016-03-06,16311
2016-03-07,17364
2016-03-08,16784
2016-03-09,16429
2016-03-10,16491
2016-03-11,16335
2016-03-12,15185
2016-03-13,14890
2016-03-14,16882
2016-03-15,16793
2016-03-16,16358
2016-03-17,16347
2016-03-18,16480
2016-03-19,15709
2016-03-20,15965
2016-03-21,17315
2016-03-22,17117
2016-03-23,16698
2016-03-24,16605
2016-03-25,16103
2016-03-26,15142
2016-03-27,14467
2016-03-28,16495
2016-03-29,16661
2016-03-30,16563
2016-03-31,16347
2016-04-01,16340
2016-04-02,15216
2016-04-03,15779
2016-04-04,17943
2016-04-05,17928
2016-04-06,17770
2016-04-07,16965
2016-04-08,16901
2016-04-09,16126
2016-04-10,15726
2016-04-11,16934
2016-04-12,16720
2016-04-13,16488
2016-04-14,16276
2016-04-15,15945
2016-04-16,14606
2016-04-17,14342
2016-04-18,15987
2016-04-19,16011
2016-04-20,15904
2016-04-21,16066
2016-04-22,16370
2016-04-23,14845
2016-04-24,14112
2016-04-25,15792
2016-04-26,16238
2016-04-27,15874
2016-04-28,15845
2016-04-29,15766
2016-04-30,14420
2016-05-01,14750
2016-05-02,16214
2016-05-03,16205
2016-05-04,16209
2016-05-05,16140
2016-05-06,16135
2016-05-07,14682
2016-05-08,14147
2016-05-09,15888
2016-05-10,15857
2016-05-11,15964
2016-05-12,16347
