Date(YMD),Demand
2015-07-01,21312
2015-08-01,21299
2015-09-01,19707
2015-10-01,16206
2015-11-01,16458
2015-12-01,16995
2016-01-01,18307
2016-02-01,18181
2016-03-01,16565
2016-04-01,16041
2016-05-01,16543
2016-06-01,19008
2016-07-01,22154
2016-08-01,22813
2016-09-01,19101
2016-10-01,16244
2016-11-01,16578
2016-12-01,18033
2017-01-01,17955
2017-02-01,17422
2017-03-01,17492
2017-04-01,15674
2017-05-01,15966
2017-06-01,18891
2017-07-01,20717
2017-08-01,19873
2017-09-01,18224
2017-10-01,16563
2017-11-01,16776
2017-12-01,18482
2018-01-01,19240
2018-02-01,17767
2018-03-01,17279
2018-04-01,16266
2018-05-01,16526
2018-06-01,18540
2018-07-01,22038
2018-08-01,22384
2018-09-01,19081
2018-10-01,16602
2018-11-01,17113
2018-12-01,17721
2019-01-01,18713
2019-02-01,18161
2019-03-01,17158
2019-04-01,15457
2019-05-01,15525
2019-06-01,17889
2019-07-01,22473
2019-08-01,20299
2019-09-01,17479
2019-10-01,15727
2019-11-01,16666
2019-12-01,17811
2020-01-01,17637
2020-02-01,17368
2020-03-01,15638
2020-04-01,14333
2020-05-01,14371
2020-06-01,17945
2020-07-01,22092
2020-08-01,20375
2020-09-01,16988
2020-10-01,15272
2020-11-01,15687
2020-12-01,17376
2021-01-01,17771
2021-02-01,18080
2021-03-01,16037
2021-04-01,14736
2021-05-01,15208
2021-06-01,19090
2021-07-01,20119
2021-08-01,21014
2021-09-01,17495
2021-10-01,15529
2021-11-01,16113
2021-12-01,16997
